8.9994;-607541.1987;-285958.3237;4090562.864;-255905.6518;-2874722.136;217150.8638;-734283.4487;-85653.43498;319070.6138;-432413.4175;-540405.7925;-66082.92718;1588472.864;-58887.88618;-293672.8706;-306652.4175;-46401.01018;-166363.6831;585484.4263;-127615.9721
8.9987;-326572.8535;-204723.8379;4456758.084;-363744.1035;-2883274.416;853607.459;-650770.4785;-99108.53321;-110203.5566;-562405.791;-417433.6348;-184156.2441;1627182.834;26159.08399;-508990.416;-206288.9316;-64027.97071;-41740.51761;574815.334;-405711.0723
8.9981;-791345.7669;-276856.0794;4292444.546;-305043.1732;-2279589.204;-152142.6732;-753666.0169;54658.43042;-223492.845;104149.7175;-513785.3294;-139702.1888;1727608.921;35508.54562;-193728.5482;-141344.4544;-107759.7669;-173642.8294;657895.3581;-357515.6107
8.9975;-740123.3476;-52855.95696;4591607.152;-316984.6601;-2611516.598;65560.85555;-715522.6601;-41926.58976;-420965.5351;-464442.9414;-743967.7851;12688.16415;1908879.402;-5640.347555;123275.3165;-148956.4726;-143413.3632;-30432.53306;610739.7774;-184227.2539
8.9969;-910688.8559;-212130.3872;4595510.644;-467111.4497;-2316675.856;168080.6755;-692377.6684;-214646.8872;-214092.809;-365771.3872;-568415.6684;57459.16755;1836277.019;-38268.85585;-563467.8559;-10277.15275;-193885.4965;-50992.95745;560984.8942;-270664.3403
8.9963;-528829.476;-372168.726;4524075.555;-406199.476;-2561896.445;620922.3678;-704612.1322;12597.57869;-471549.476;-358779.351;-207516.0463;-62503.28062;1697809.055;-115794.9447;-529140.5072;-284574.4447;24269.83659;-153918.5267;528498.8678;-576762.1947
8.9957;-1011202.841;-507644.1538;4377161.534;-330856.5444;-2777767.966;574717.5962;-994100.0913;-133221.1792;-579263.1851;430698.7212;67956.8931;-64554.67721;1761354.659;-100729.9663;-235181.4976;-213400.8101;-167553.396;-52224.34521;531561.4087;-527294.2163
8.9951;-249800.4404;-416668.1084;4417373.485;-730454.1396;-2944507.515;559297.5479;-952355.2021;-324643.2802;370051.9854;-270173.3466;-288320.4091;-211582.6376;1804655.36;-230663.5146;-207854.2607;-206080.9423;-216010.791;-216225.6376;523501.6729;-530837.0459
8.9945;-519311.805;-778600.7738;4588160.695;-690309.055;-2599077.805;735848.82;-711797.555;-417552.1331;-209635.4769;497930.2575;-328949.7894;-201200.0784;1856377.945;-286206.305;-637621.2738;-255503.8616;-173047.5784;-208168.5862;501101.5075;-593953.9925
8.9939;-224816.6047;-635051.1204;4556654.098;-770053.9016;-3020310.652;893574.2234;-1052778.089;-403522.1907;-205054.6282;366763.4109;-418925.175;-53613.15156;1972593.598;-329888.4016;-901517.0266;-229568.4875;29671.09844;-147709.9797;454095.0984;-510692.2454
8.9932;-812625.4797;-740174.2609;4656408.302;-747948.6047;-2456723.198;1204515.302;-482592.7218;-366365.8781;-281996.2609;70398.36406;-219289.9171;259846.4891;1622607.177;-427262.1984;-797612.9484;-350844.0265;-30763.97964;-115084.6359;446341.9891;-840824.2297
8.9926;-569584.7068;-913492.2048;4729618.983;-800891.1736;-2089458.142;747282.8577;-132545.611;-546185.7243;822735.7327;-492691.2907;-779649.8454;60252.92022;1427346.858;-587696.5173;-934277.2361;-329113.2048;-17775.14229;-171769.3298;245267.1702;-397019.8923
